,mutation,quaycode,quayname,quayowner,quaystatus,accessible,bicyclepar,bins,shelter,geometry,x,y
406,2017-09-20T01:44:47Z,NL:Q:10005450,Vechtstraat,G0014,available,Y,false,false,false,POINT (6.572593062118091 53.20884009406279),6.5725930621180915,53.20884009406279
407,2017-09-20T01:44:22Z,NL:Q:10005460,Vechtstraat,G0014,available,Y,false,true,true,POINT (6.572561596193393 53.20823831424373),6.572561596193393,53.20823831424373
408,2017-09-20T01:44:22Z,NL:Q:10005790,Nolenslaan,G0014,available,N,false,true,false,POINT (6.593886022365651 53.19569626999986),6.593886022365651,53.19569626999986
409,2017-09-20T01:39:06Z,NL:Q:10005800,Nolenslaan,G0014,available,N,false,false,true,POINT (6.593826509369456 53.19624504500885),6.593826509369456,53.19624504500885
410,2017-09-20T01:39:06Z,NL:Q:10005810,Saaksumborg,G0014,available,N,false,false,true,POINT (6.59527391450681 53.19341770035648),6.5952739145068096,53.19341770035648
411,2017-09-20T01:45:45Z,NL:Q:10005820,Saaksumborg,G0014,available,N,false,false,false,POINT (6.595144707979095 53.19307751446661),6.595144707979095,53.19307751446661
412,2017-09-20T01:42:23Z,NL:Q:10005830,Esserhaag,G0014,available,Y,false,false,false,POINT (6.592418086917609 53.19242197014514),6.592418086917609,53.19242197014514
413,2017-09-20T01:43:48Z,NL:Q:10005840,Esserhaag,G0014,available,Y,false,false,true,POINT (6.593436543230386 53.19245666408271),6.593436543230386,53.19245666408271
414,2017-09-20T01:45:38Z,NL:Q:10005870,Verl. Hereweg,G0014,available,N,false,false,false,POINT (6.583028369694658 53.19484345814765),6.583028369694658,53.19484345814765
415,2017-09-20T01:45:51Z,NL:Q:10005880,Verl. Hereweg,G0014,available,N,false,false,false,POINT (6.583272749284746 53.1944815620135),6.583272749284746,53.1944815620135
416,2017-09-20T01:37:36Z,NL:Q:10005900,W. van Doeverenplein,G0014,available,Y,false,false,true,POINT (6.571614554723053 53.22666979018049),6.571614554723053,53.22666979018049
417,2017-09-20T01:37:36Z,NL:Q:10006060,W. van Doeverenplein,G0014,available,Y,false,false,true,POINT (6.571323753860708 53.22698718299964),6.571323753860708,53.226987182999636
418,2017-09-20T01:37:52Z,NL:Q:10005950,Oostersingel,G0014,available,N,false,false,false,POINT (6.574195632069097 53.22141421160311),6.574195632069097,53.22141421160311
419,2017-09-20T01:40:37Z,NL:Q:10005960,Oostersingel,G0014,available,N,false,false,false,POINT (6.574487114965052 53.22112376326966),6.574487114965052,53.22112376326966
420,2017-09-20T01:37:20Z,NL:Q:10006140,Floresstraat,G0014,available,Y,false,true,true,POINT (6.563722150441057 53.23269639216375),6.563722150441057,53.232696392163746
421,2017-09-20T01:37:20Z,NL:Q:10006080,Floresstraat,G0014,available,Y,false,false,false,POINT (6.564740028008634 53.23322559039649),6.564740028008634,53.23322559039649
422,2017-09-20T01:42:22Z,NL:Q:10006130,Floresstraat,G0014,available,Y,false,true,true,POINT (6.564092711556701 53.23365429780232),6.564092711556701,53.23365429780232
423,2017-09-20T01:36:47Z,NL:Q:10006090,UMCG Hoofdingang,G0014,available,Y,false,true,false,POINT (6.576615798873442 53.22067133491188),6.576615798873442,53.220671334911884
424,2017-09-20T01:37:36Z,NL:Q:10006100,UMCG Hoofdingang,G0014,available,Y,false,true,true,POINT (6.576826350083889 53.22070519326529),6.576826350083889,53.22070519326529
425,2017-09-20T01:45:53Z,NL:Q:10006210,Korenstraat,G0014,available,N,false,true,false,POINT (6.563866114206288 53.2231334947415),6.563866114206288,53.223133494741504
426,2017-09-20T01:38:11Z,NL:Q:10006550,H. R. Holststraat,G0014,available,Y,false,true,true,POINT (6.567327094929853 53.2001751705171),6.567327094929853,53.2001751705171
427,2017-09-20T01:40:26Z,NL:Q:10006590,Parkbrug,G0014,available,N,false,false,true,POINT (6.562781616537958 53.20693266670229),6.562781616537958,53.206932666702286
428,2017-09-20T01:43:04Z,NL:Q:10006600,Parkbrug,G0014,available,Y,false,true,true,POINT (6.561988522623241 53.20694043585226),6.561988522623241,53.20694043585226
429,2017-09-20T01:43:23Z,NL:Q:10006930,Lepelaar,G0014,available,Y,false,true,true,POINT (6.544906338624272 53.183319425584),6.544906338624272,53.183319425583996
430,2017-09-20T01:36:17Z,NL:Q:10006940,Lepelaar,G0014,available,Y,false,false,true,POINT (6.544943461570905 53.18358866105059),6.544943461570905,53.18358866105059
431,2017-09-20T01:43:23Z,NL:Q:10007330,Linnaeusplein,G0014,available,Y,false,false,false,POINT (6.583202062180248 53.22277159247042),6.583202062180248,53.222771592470416
432,2017-09-20T01:38:29Z,NL:Q:10007380,Linnaeusplein,G0014,available,Y,false,false,false,POINT (6.58336498539694 53.22270706370089),6.58336498539694,53.22270706370089
433,2017-09-21T23:03:56Z,NL:Q:10007340,Wielewaalplein,G0014,available,Y,false,false,true,POINT (6.577338592767959 53.22788922523241),6.577338592767959,53.22788922523241
434,2017-09-20T01:41:30Z,NL:Q:10007370,Wielewaalplein,G0014,available,Y,false,false,true,POINT (6.576017874148767 53.22887284431007),6.576017874148767,53.22887284431007
435,2017-09-20T01:38:29Z,NL:Q:10007350,Klaprooslaan,G0014,available,Y,false,false,true,POINT (6.580796364411039 53.22512302211076),6.5807963644110385,53.22512302211076
436,2017-09-20T01:36:47Z,NL:Q:10007360,Klaprooslaan,G0014,available,Y,false,false,false,POINT (6.580724738519386 53.22524055760552),6.580724738519386,53.22524055760552
437,2017-09-20T01:40:27Z,NL:Q:10008360,Zuiderdiep,G0014,available,Y,false,false,true,POINT (6.567636287647661 53.21479304105647),6.567636287647661,53.21479304105647
438,2017-09-20T01:41:30Z,NL:Q:10008370,Zuiderdiep,G0014,available,Y,false,true,true,POINT (6.570731519948278 53.21575105341937),6.570731519948278,53.21575105341937
439,2017-09-20T01:40:46Z,NL:Q:10008380,Zuiderdiep,G0014,available,Y,false,false,true,POINT (6.57091358450242 53.21583912142354),6.57091358450242,53.215839121423535
440,2017-09-20T01:41:41Z,NL:Q:10008390,Zuiderdiep,G0014,available,Y,false,true,true,POINT (6.569298594964904 53.21536079126373),6.569298594964904,53.215360791263734
441,2017-09-20T01:37:36Z,NL:Q:10008400,Zuiderdiep,G0014,available,Y,false,false,false,POINT (6.570340409597757 53.21568301950868),6.570340409597757,53.21568301950868
442,2017-09-20T01:42:31Z,NL:Q:10008090,Zuiderdiep,G0014,available,Y,false,true,true,POINT (6.567247888268253 53.21482382089719),6.567247888268253,53.214823820897195
443,2017-09-20T01:41:30Z,NL:Q:10008100,Zuiderdiep,G0014,available,Y,false,true,true,POINT (6.571080190623361 53.21590936887372),6.571080190623361,53.21590936887372
444,2017-09-20T01:39:06Z,NL:Q:10008470,Rouaanstraat,G0014,available,Y,false,false,false,POINT (6.612427449659563 53.19783580981917),6.612427449659563,53.197835809819175
445,2017-09-20T01:37:22Z,NL:Q:10008480,Rouaanstraat,G0014,available,Y,false,false,false,POINT (6.611964686549757 53.19787648199844),6.611964686549757,53.19787648199844
446,2017-09-20T01:45:03Z,NL:Q:10008510,Antwerpenweg,G0014,available,N,false,false,false,POINT (6.602622666759498 53.20359705446315),6.6026226667594985,53.203597054463145
447,2017-09-20T01:36:48Z,NL:Q:10008530,Antwerpenweg,G0014,available,Y,false,false,true,POINT (6.601504925199284 53.20430033354081),6.601504925199284,53.204300333540814
448,2017-09-20T01:45:20Z,NL:Q:10008600,Stockholmstraat,G0014,available,Y,false,false,false,POINT (6.593753210348009 53.21561161969354),6.593753210348009,53.21561161969354
449,2017-09-20T01:39:33Z,NL:Q:10008650,IKEA,G0014,available,Y,false,true,true,POINT (6.586950717350222 53.21756698241311),6.586950717350222,53.21756698241311
450,2017-09-21T23:04:01Z,NL:Q:10008660,IKEA,G0014,available,N,false,false,false,POINT (6.585528320982307 53.21702403837669),6.585528320982307,53.217024038376685
451,2017-09-20T01:38:29Z,NL:Q:10008770,Oliemuldersweg,G0014,available,Y,false,false,false,POINT (6.587321397528976 53.22175094604408),6.587321397528976,53.221750946044075
452,2017-09-20T01:40:46Z,NL:Q:10008780,Oliemuldersweg,G0014,available,Y,false,false,false,POINT (6.591232914669846 53.22295188696891),6.591232914669846,53.222951886968914
453,2017-09-21T23:04:02Z,NL:Q:10008830,Florakade,G0014,available,Y,false,false,true,POINT (6.59274302128257 53.22448238852223),6.59274302128257,53.224482388522226
454,2017-09-21T23:04:02Z,NL:Q:10008840,Florakade,G0014,available,Y,false,false,true,POINT (6.592912202379799 53.22464244419481),6.592912202379799,53.22464244419481
455,2017-09-20T01:37:52Z,NL:Q:10009430,Trompstraat,G0014,available,Y,false,false,false,POINT (6.576813591545148 53.21480124978982),6.5768135915451476,53.21480124978982
456,2017-09-20T01:36:18Z,NL:Q:10009440,Trompstraat,G0014,available,Y,false,true,true,POINT (6.575847324394529 53.21450528828798),6.575847324394529,53.21450528828798
457,2017-09-20T01:40:27Z,NL:Q:10101570,Beneluxweg,G0014,available,Y,false,false,true,POINT (6.592910132423495 53.23583951280423),6.592910132423495,53.23583951280423
458,2017-09-20T01:38:30Z,NL:Q:10101580,Beneluxweg,G0014,available,Y,false,false,true,POINT (6.593391053127579 53.23589758534937),6.593391053127579,53.23589758534937
459,2017-09-20T01:36:20Z,NL:Q:10103950,Wimpel,G0014,available,Y,false,false,false,POINT (6.624228512707277 53.2410384738785),6.624228512707277,53.2410384738785
460,2017-09-20T01:36:20Z,NL:Q:10103960,Wimpel,G0014,available,Y,false,true,true,POINT (6.624562142579442 53.24065760588064),6.624562142579442,53.240657605880635
461,2017-09-20T01:41:41Z,NL:Q:10105030,Meerpaal,G0014,available,N,false,true,true,POINT (6.629051891508187 53.23582147446389),6.629051891508187,53.23582147446389
462,2017-09-20T01:42:32Z,NL:Q:10105040,Meerpaal,G0014,available,Y,false,true,false,POINT (6.626961775884909 53.23553754358164),6.626961775884909,53.23553754358164
463,2017-09-20T01:39:34Z,NL:Q:10105060,Baken,G0014,available,Y,false,true,false,POINT (6.624519834330966 53.23499659760077),6.624519834330966,53.23499659760077
464,2017-09-20T01:42:55Z,NL:Q:10108610,Sportveld,G0014,available,Y,false,true,true,POINT (6.649497454132366 53.20763319424888),6.649497454132366,53.20763319424888
465,2017-09-20T01:45:42Z,NL:Q:10108620,Sportveld,G0014,available,Y,false,false,false,POINT (6.649371187249344 53.20740985909664),6.649371187249344,53.20740985909664
466,2017-09-20T01:41:20Z,NL:Q:10108730,Ringweg Oost,G0014,available,Y,false,false,false,POINT (6.605673053413407 53.22792839243795),6.605673053413407,53.227928392437946
467,2017-09-20T01:39:34Z,NL:Q:10108740,Ringweg Oost,G0014,available,N,false,false,false,POINT (6.607067141276366 53.2279771347017),6.607067141276366,53.227977134701696
468,2017-09-20T01:37:19Z,NL:Q:10115930,Zijlvesterweg,G0014,available,N,false,false,false,POINT (6.49413062368362 53.24169763566474),6.4941306236836205,53.241697635664735
469,2017-09-20T01:43:12Z,NL:Q:10115910,Zijlvesterweg,P0020,available,N,false,false,false,POINT (6.494792114599766 53.24237448653916),6.4947921145997665,53.242374486539155
470,2017-09-20T01:43:03Z,NL:Q:10115920,Zijlvesterweg,P0020,available,N,false,false,false,POINT (6.493085906123617 53.2430192528265),6.493085906123617,53.2430192528265
471,2017-09-21T23:04:14Z,NL:Q:10116410,De Held,G0014,available,N,false,false,true,POINT (6.513864428182981 53.2269652642817),6.5138644281829805,53.226965264281695
472,2017-09-20T01:36:16Z,NL:Q:10116420,De Held,G0014,available,N,false,false,false,POINT (6.513896947058171 53.22706380817931),6.513896947058171,53.22706380817931
473,2017-09-20T01:45:45Z,NL:Q:10126210,UT Delfiaweg-Oost,G0014,available,N,false,false,false,POINT (6.517856066274052 53.21526348728143),6.517856066274052,53.21526348728143
474,2017-09-20T01:43:36Z,NL:Q:10126220,UT Delfiaweg-Oost,G0014,available,N,false,false,false,POINT (6.516654761968897 53.21569715920029),6.516654761968897,53.21569715920029
475,2017-09-20T01:45:30Z,NL:Q:10128250,Kerkstraat,G0014,available,Y,false,true,false,POINT (6.502075065096474 53.21635472362217),6.5020750650964745,53.216354723622175
476,2017-09-20T01:39:31Z,NL:Q:10128270,Fabriekslaan,G0014,available,Y,false,true,false,POINT (6.501710253001565 53.21439909755158),6.501710253001565,53.214399097551585
477,2017-09-20T01:39:03Z,NL:Q:10128280,Fabriekslaan,G0014,available,N,false,true,false,POINT (6.500976800204163 53.2155651422159),6.500976800204163,53.2155651422159
478,2017-09-20T01:37:21Z,NL:Q:10152230,Bakemastraat,G0014,available,Y,false,true,true,POINT (6.581645531165356 53.24121814693812),6.581645531165356,53.241218146938124
479,2017-09-20T01:36:18Z,NL:Q:10152240,Bakemastraat,G0014,available,Y,false,true,false,POINT (6.583645322994446 53.24094661286707),6.583645322994446,53.24094661286707
480,2017-09-20T01:45:25Z,NL:Q:10155410,Gemaal,G0014,available,N,false,false,false,POINT (6.581560351365056 53.25113990358324),6.581560351365056,53.25113990358324
481,2017-09-20T01:36:47Z,NL:Q:10155420,Gemaal,G0014,available,N,false,false,false,POINT (6.581338965722872 53.25071974897156),6.581338965722872,53.25071974897156
482,2017-09-20T01:36:47Z,NL:Q:10155570,Granpre Moliereweg,G0014,available,Y,false,false,false,POINT (6.579106520991973 53.24312153024498),6.5791065209919735,53.243121530244984
483,2017-09-20T01:42:12Z,NL:Q:10155580,Granpre Moliereweg,G0014,available,Y,false,true,false,POINT (6.577938471192513 53.24259394246123),6.577938471192513,53.242593942461234
484,2017-09-20T01:38:12Z,NL:Q:10155610,Wibenaheerd,G0014,available,Y,false,true,true,POINT (6.602214575969721 53.24713142080543),6.602214575969721,53.24713142080543
485,2017-09-20T01:40:27Z,NL:Q:10155690,Edzemaheerd,G0014,available,Y,false,true,true,POINT (6.590293855869521 53.2526882120721),6.590293855869521,53.2526882120721
486,2017-09-20T01:40:27Z,NL:Q:10155700,Edzemaheerd,G0014,available,Y,false,false,false,POINT (6.591423350351104 53.25289255992442),6.591423350351104,53.25289255992442
487,2017-09-20T01:37:21Z,NL:Q:10155730,Winkelcentrum West,G0014,available,Y,false,true,true,POINT (6.588056514494966 53.24659092092363),6.588056514494966,53.24659092092363
488,2017-09-21T23:04:21Z,NL:Q:10155740,Winkelcentrum West,G0014,available,Y,false,true,false,POINT (6.588014079321565 53.24668120879898),6.588014079321565,53.24668120879898
489,2017-09-20T01:39:32Z,NL:Q:10255410,Oude Adorperweg,P0020,available,N,false,false,false,POINT (6.543340629748259 53.2534820370676),6.543340629748259,53.2534820370676
490,2017-09-20T01:37:19Z,NL:Q:10255420,Oude Adorperweg,P0020,available,N,false,false,false,POINT (6.54284156699114 53.25443039828529),6.54284156699114,53.25443039828529
491,2017-09-20T01:39:03Z,NL:Q:11215710,Gaaikemadijk,P0020,available,N,false,false,false,POINT (6.488172858802446 53.24421464938433),6.488172858802446,53.244214649384325
492,2017-09-20T01:39:02Z,NL:Q:11215720,Gaaikemadijk,P0020,available,N,false,false,false,POINT (6.486341171464024 53.24464480025672),6.486341171464024,53.244644800256715
493,2017-09-20T01:43:26Z,NL:Q:12548210,Veldzicht,G0040,available,Y,false,false,false,POINT (6.671821754626313 53.20935529249191),6.671821754626313,53.20935529249191
494,2017-09-20T01:38:46Z,NL:Q:12548220,Veldzicht,G0040,available,Y,false,false,false,POINT (6.672312107673533 53.20923321533149),6.672312107673533,53.20923321533149
495,2017-09-20T01:39:34Z,NL:Q:12548410,Grunostrand,G0040,available,Y,false,false,false,POINT (6.662045230439399 53.21132878410403),6.662045230439399,53.21132878410403
496,2017-09-20T01:45:11Z,NL:Q:12548420,Grunostrand,G0040,available,Y,false,false,false,POINT (6.663182165291492 53.21079547722172),6.6631821652914915,53.210795477221716
497,2017-09-21T23:03:57Z,NL:Q:10007530,Station Europapark,G0014,available,Y,false,false,false,POINT (6.58710402417115 53.20475078265723),6.58710402417115,53.20475078265723
498,2017-09-21T23:03:57Z,NL:Q:10007540,Station Europapark,G0014,available,Y,false,false,true,POINT (6.58733620442018 53.20448785267261),6.58733620442018,53.20448785267261
499,2017-09-21T23:03:43Z,NL:Q:10004530,Station Europapark,G0014,available,Y,true,false,true,POINT (6.587465384415204 53.2048280457846),6.587465384415204,53.2048280457846
500,2017-09-21T23:03:43Z,NL:Q:10004540,Station Europapark,G0014,available,Y,true,false,true,POINT (6.587247917120885 53.20508184234122),6.587247917120885,53.20508184234122
501,2017-09-21T23:04:02Z,NL:Q:10008930,P3 / Boumaboulevard,G0014,available,Y,false,true,true,POINT (6.593403156818303 53.20950435502271),6.593403156818303,53.20950435502271
502,2017-09-21T23:04:02Z,NL:Q:10008910,P3 / Boumaboulevard,G0014,available,N,false,true,true,POINT (6.593509163546125 53.20954822145136),6.593509163546125,53.20954822145136
503,2017-09-21T23:04:02Z,NL:Q:10008920,P3 / Boumaboulevard,G0014,available,Y,false,true,true,POINT (6.593157525425956 53.20982135033313),6.593157525425956,53.20982135033313
504,2017-09-21T23:04:02Z,NL:Q:10009011,Hoofdstation,G0014,available,N,true,true,true,POINT (6.564239602485412 53.21155536051264),6.564239602485412,53.21155536051264
505,2017-09-21T23:04:02Z,NL:Q:10009012,Hoofdstation,G0014,available,Y,true,true,false,POINT (6.565270516857103 53.21148233721988),6.565270516857103,53.21148233721988
506,2017-09-21T23:04:03Z,NL:Q:10009019,Hoofdstation,G0014,available,N,false,false,true,POINT (6.567937580668315 53.2115729422131),6.567937580668315,53.2115729422131
507,2017-09-21T23:04:04Z,NL:Q:10009034,Hoofdstation,G0014,available,N,false,false,true,POINT (6.567885323720803 53.21130386408751),6.567885323720803,53.21130386408751
508,2017-09-21T23:04:03Z,NL:Q:10009013,Hoofdstation,G0014,available,N,false,false,false,POINT (6.566314923187839 53.21135525397736),6.566314923187839,53.21135525397736
509,2017-09-21T23:04:04Z,NL:Q:10009027,Hoofdstation,G0014,available,N,true,false,true,POINT (6.567166488106655 53.21129296326672),6.567166488106655,53.21129296326672
510,2017-09-21T23:04:03Z,NL:Q:10009021,Hoofdstation,G0014,available,N,false,false,true,POINT (6.566447652820792 53.21128205813874),6.566447652820792,53.21128205813874
511,2017-09-21T23:04:04Z,NL:Q:10009035,Hoofdstation,G0014,available,N,false,false,true,POINT (6.568005047901813 53.21130268580588),6.5680050479018135,53.21130268580588
512,2017-09-21T23:04:03Z,NL:Q:10009014,Hoofdstation,G0014,available,N,false,true,true,POINT (6.56672364972232 53.21152197812449),6.56672364972232,53.21152197812449
513,2017-09-21T23:04:04Z,NL:Q:10009028,Hoofdstation,G0014,available,N,false,false,true,POINT (6.567286212282767 53.21129178570229),6.567286212282767,53.211291785702294
514,2017-09-21T23:04:03Z,NL:Q:10009022,Hoofdstation,G0014,available,N,false,false,true,POINT (6.566567376991979 53.21128088129151),6.566567376991979,53.211280881291515
515,2017-09-21T23:04:04Z,NL:Q:10009036,Hoofdstation,G0014,available,N,false,false,false,POINT (6.567726344906662 53.21151211601942),6.567726344906662,53.21151211601942
516,2017-09-21T23:04:03Z,NL:Q:10009015,Hoofdstation,G0014,available,N,false,true,true,POINT (6.566797742407664 53.21149429043065),6.566797742407664,53.21149429043065
517,2017-09-21T23:04:04Z,NL:Q:10009029,Hoofdstation,G0014,available,N,false,false,true,POINT (6.567405936451411 53.21129060801842),6.567405936451411,53.211290608018416
518,2017-09-21T23:04:03Z,NL:Q:10009023,Hoofdstation,G0014,available,N,false,false,true,POINT (6.566687101155702 53.21127970432489),6.566687101155702,53.21127970432489
519,2017-09-21T23:04:03Z,NL:Q:10009016,Hoofdstation,G0014,available,N,false,true,true,POINT (6.567098034950659 53.21152728321514),6.567098034950659,53.21152728321514
520,2017-09-21T23:04:04Z,NL:Q:10009031,Hoofdstation,G0014,available,N,false,false,true,POINT (6.567525905872704 53.21129841421551),6.567525905872704,53.21129841421551
521,2017-09-21T23:04:03Z,NL:Q:10009024,Hoofdstation,G0014,available,N,false,false,true,POINT (6.566807070422678 53.21128751124112),6.566807070422678,53.211287511241125
522,2017-09-21T23:04:03Z,NL:Q:10009017,Hoofdstation,G0014,available,N,false,true,true,POINT (6.567217024184874 53.21149915371548),6.567217024184874,53.21149915371548
523,2017-09-21T23:04:04Z,NL:Q:10009032,Hoofdstation,G0014,available,N,false,false,true,POINT (6.567645630051268 53.21129723629245),6.567645630051268,53.211297236292445
524,2017-09-21T23:04:02Z,NL:Q:10009000,Hoofdstation,G0014,available,Y,false,false,true,POINT (6.565894663195754 53.21131445151767),6.5658946631957535,53.21131445151767
525,2017-09-21T23:04:04Z,NL:Q:10009025,Hoofdstation,G0014,available,N,false,false,true,POINT (6.566926794596331 53.21128633403532),6.566926794596331,53.21128633403532
526,2017-09-21T23:04:03Z,NL:Q:10009018,Hoofdstation,G0014,available,N,false,true,true,POINT (6.567547493546778 53.21154083498146),6.567547493546778,53.211540834981456
527,2017-09-21T23:04:04Z,NL:Q:10009033,Hoofdstation,G0014,available,N,true,false,true,POINT (6.56776535422236 53.21129605825001),6.56776535422236,53.21129605825001
528,2017-09-21T23:04:02Z,NL:Q:10009001,Hoofdstation,G0014,available,Y,true,false,false,POINT (6.566014387476041 53.21131327522187),6.566014387476041,53.21131327522187
529,2017-09-21T23:04:04Z,NL:Q:10009026,Hoofdstation,G0014,available,N,false,false,true,POINT (6.567046518762518 53.21128515671003),6.567046518762518,53.211285156710034
530,2017-09-21T23:04:17Z,NL:Q:10125850,P+R Hoogkerk,G0014,available,Y,false,true,true,POINT (6.513760443237151 53.1976977504173),6.5137604432371505,53.1976977504173
531,2017-09-21T23:04:17Z,NL:Q:10125860,P+R Hoogkerk,G0014,available,Y,false,true,true,POINT (6.513806730418747 53.19775123393568),6.5138067304187475,53.197751233935676
532,2017-09-21T23:04:17Z,NL:Q:10125870,P+R Hoogkerk,G0014,available,Y,false,true,true,POINT (6.513333113161302 53.19737825362163),6.513333113161302,53.19737825362163
533,2017-09-21T23:04:17Z,NL:Q:10125880,P+R Hoogkerk,G0014,available,Y,false,true,true,POINT (6.513406514338721 53.19732364620032),6.513406514338721,53.19732364620032
534,2017-09-21T23:04:17Z,NL:Q:10125830,P+R Hoogkerk,G0014,available,Y,false,true,true,POINT (6.513056104562519 53.1976594316947),6.513056104562519,53.197659431694696
535,2017-09-21T23:04:17Z,NL:Q:10125840,P+R Hoogkerk,G0014,available,Y,true,true,true,POINT (6.513714156170368 53.19764426687983),6.513714156170368,53.19764426687983
536,2015-07-06T17:10:04Z,NL:Q:10005655,Meeuwerderbaan,G0014,available,U,,,,POINT (6.580688424540262 53.20874185944249),6.580688424540262,53.20874185944249
537,2015-07-06T17:10:04Z,NL:Q:10005665,Meeuwerderbaan,G0014,available,U,,,,POINT (6.58077722004237 53.20870503028602),6.58077722004237,53.20870503028602
538,2015-07-06T17:10:05Z,NL:Q:11315510,Westpoortboulevard,G0014,available,N,,,,POINT (6.471766061110032 53.20889533600561),6.471766061110032,53.20889533600561
539,2015-07-06T17:10:05Z,NL:Q:11315520,Westpoortboulevard,G0014,available,N,,,,POINT (6.471973093095428 53.20879461503206),6.4719730930954285,53.20879461503206
540,2017-09-20T01:44:34Z,NL:Q:10005540,Nieuwe Kerkhof,G0014,available,N,false,false,false,POINT (6.560605413888235 53.22326427390426),6.5606054138882355,53.223264273904256
541,2017-09-20T01:38:28Z,NL:Q:10001380,Korreweg,G0014,available,Y,false,true,true,POINT (6.570444185479733 53.2315070137272),6.570444185479733,53.231507013727196
542,2017-09-20T01:38:28Z,NL:Q:10001530,Korreweg,G0014,available,Y,false,false,true,POINT (6.571181979285364 53.23110433762557),6.571181979285364,53.23110433762557
